,,Significance level,,,,,
,,0.01,,0.05,,0.1,
h2,prev,LTMH,GCTA,LTMH,GCTA,LTMH,GCTA
0,0.05,0.0015,0.0110,0.0115,0.0255,0.0285,0.0580
0,0.1,0.0050,0.0200,0.0480,0.0685,0.1020,0.1280
0,0.2,0.0015,0.0025,0.0200,0.0260,0.0505,0.0510
0.2,0.05,0.0485,0.2210,0.2260,0.3890,0.3990,0.4945
0.2,0.1,0.3420,0.5675,0.6730,0.7685,0.8055,0.8510
0.2,0.2,0.6210,0.7220,0.8675,0.8865,0.9405,0.9390
0.4,0.05,0.4575,0.7970,0.8190,0.9095,0.9050,0.9465
0.4,0.1,0.9395,0.9805,0.9930,0.9965,0.9960,0.9985
0.4,0.2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
